datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24
26.09.2021;Wahl zum Deutschen Bundestag;06411000;760;00760 - Heinrich-Heine-Schule;1;1;645;381;0;1026;425;5;9;416;12;413;60;54;152;139;36;36;37;40;78;79;27;21;0;5;9;7;8;3;0;2;0;0;0;1;0;1;0;0;0;2;8;9;0;0;0;0;0;0;0;0;0;1;0;11;0;2;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;780;00780 - Wilhelm-Leuschner-Schule;1;1;890;502;0;1392;519;10;10;509;9;510;73;53;135;117;47;53;58;64;118;117;53;57;0;5;9;5;6;2;0;3;0;1;0;2;0;0;1;0;0;1;5;2;0;0;0;0;0;0;0;2;0;0;0;14;0;12;4;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;790;00790 - Wilhelm-Leuschner-Schule;1;1;704;592;0;1296;437;6;5;432;6;431;78;59;106;104;21;21;42;60;131;113;29;39;0;1;10;8;6;2;0;1;0;0;0;1;0;0;0;0;0;0;7;6;0;0;0;0;0;0;0;4;0;0;0;3;0;9;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;800;00800 - Verwaltungsseminar;1;1;630;478;0;1108;341;4;4;337;0;341;44;27;91;84;22;21;33;47;92;87;31;32;0;4;10;7;5;5;0;1;0;0;0;1;0;0;0;0;0;0;8;4;0;0;0;1;0;0;0;2;0;1;0;10;0;7;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;810;00810 - Verwaltungsseminar;1;1;562;406;0;968;358;3;0;358;0;358;57;51;69;65;18;34;61;43;109;99;15;22;0;3;12;3;4;2;0;3;0;0;0;0;0;0;2;1;0;0;9;5;0;0;0;0;0;0;0;2;0;0;0;3;0;22;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;820;00820 - Friedrich-Ebert-Schule;1;1;567;557;0;1124;407;1;6;401;6;401;84;72;129;127;35;35;56;59;62;58;16;20;0;8;8;3;7;4;0;3;0;0;0;0;0;0;1;1;0;0;3;1;0;1;0;0;0;0;0;1;0;0;0;3;0;5;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;831;00831 - Friedrich-Ebert-Schule;1;1;421;344;0;765;297;2;6;291;5;292;70;58;94;82;31;39;21;21;46;40;17;21;0;8;3;1;4;4;0;2;0;0;0;1;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;2;0;0;0;4;0;4;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;832;00832 - Friedrich-Ebert-Schule;1;1;550;269;0;819;350;0;9;341;7;343;57;50;112;93;21;23;37;43;54;61;32;33;0;0;6;4;7;8;0;1;0;0;0;3;0;0;1;0;0;1;12;12;0;0;0;0;0;0;0;0;0;0;0;10;0;1;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;840;00840 - Friedrich-Ebert-Schule;1;1;716;721;0;1437;501;13;5;496;7;494;90;86;164;156;41;36;39;53;109;101;21;20;0;8;8;6;9;13;0;1;0;1;0;0;0;0;2;0;0;0;11;9;0;0;0;0;0;1;0;0;0;0;0;2;0;1;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;850;00850 - Friedrich-Ebert-Schule;1;1;656;524;0;1180;404;5;8;396;8;396;97;91;116;118;41;39;37;42;65;53;21;27;0;5;8;3;6;5;0;3;0;0;0;0;0;0;1;0;0;0;4;4;0;0;0;0;0;0;0;1;0;0;0;2;0;3;0;0
