datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A;A1;A2;A3;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25
08.10.2023;Landtagswahl 2023;06411000;92023;92023;1;1;0;0;0;0;497;497;3;494;2;495;82;83;148;166;87;66;45;51;16;17;30;31;10;9;;4;13;13;1;0;;1;;0;;1;0;1;;0;1;2;;0;;0;;0;57;48;;2;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;92024;92024;1;1;0;0;0;0;551;551;3;548;4;547;63;73;209;207;101;76;27;30;17;20;45;49;12;13;;6;7;7;3;6;;2;;1;;5;6;4;;1;2;1;;4;;0;;0;52;41;;1;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;92025;92025;1;1;0;0;0;0;521;521;6;515;4;517;64;67;174;184;104;79;19;20;18;23;38;50;11;8;;5;15;13;5;4;;1;;0;;3;5;4;;0;4;3;;3;;1;;1;54;43;;5;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;92026;92026;1;1;0;0;0;0;589;589;9;580;6;583;89;95;161;174;135;109;59;63;17;19;42;49;6;5;;10;10;7;3;1;;2;;1;;3;2;2;;1;2;2;;3;;0;;1;51;32;;4;3;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;92027;92027;1;1;0;0;0;0;665;665;4;661;2;663;88;82;252;260;101;81;33;34;33;41;40;56;12;9;;8;10;7;2;2;;0;;0;;2;5;5;;0;0;0;;2;;1;;0;80;72;;1;5;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;92028;92028;1;1;0;0;0;0;504;504;3;501;2;502;105;108;170;169;76;57;32;38;22;24;39;40;7;5;;9;6;4;2;2;;3;;0;;4;6;3;;0;1;0;;0;;0;;0;31;33;;3;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;93030;93030;1;1;0;0;0;0;612;612;4;608;1;611;130;141;213;208;97;80;25;30;22;29;26;34;10;8;;8;7;4;4;2;;3;;0;;1;7;5;;1;1;1;;5;;0;;0;61;49;;2;5;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;93031;93031;1;1;0;0;0;0;408;408;1;407;0;408;167;175;86;72;60;53;23;25;26;28;8;9;5;5;;4;6;7;2;1;;0;;0;;3;1;1;;0;0;0;;2;;1;;0;22;21;;1;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;93032;93032;1;1;0;0;0;0;599;599;8;591;3;596;190;195;169;178;86;66;30;35;39;34;30;37;8;4;;6;2;3;0;1;;0;;0;;1;3;2;;0;0;0;;3;;0;;0;34;29;;2;0;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;93033;93033;1;1;0;0;0;0;341;341;4;337;3;338;69;82;96;88;55;52;22;24;9;17;22;22;7;3;;5;6;2;1;1;;0;;0;;2;1;3;;0;0;0;;1;;0;;0;45;32;;4;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;93034;93034;1;1;0;0;0;0;563;563;5;558;4;559;111;134;144;140;106;101;45;39;25;26;31;32;21;15;;8;7;4;1;1;;0;;0;;6;1;2;;0;0;0;;6;;1;;0;64;43;;1;2;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;93035;93035;1;1;0;0;0;0;406;406;4;402;1;405;86;92;130;136;68;49;22;22;11;16;28;31;9;6;;5;5;3;1;0;;1;;0;;4;1;2;;0;2;1;;4;;0;;0;33;29;;4;6;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;93036;93036;1;1;0;0;0;0;387;387;3;384;0;387;100;111;91;94;60;52;27;33;23;25;16;14;15;9;;7;8;4;2;1;;1;;0;;1;6;4;;0;1;1;;2;;0;;0;35;27;;1;0;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;94040;94040;1;1;0;0;0;0;473;473;4;469;3;470;123;129;120;148;118;73;9;9;34;35;15;19;15;8;;0;;2;;0;;0;;0;;2;;1;;0;;0;;1;0;0;;0;32;36;;7;3;;;;;;;
