Wahl_Abkürzung,gebiet-nr,Stadtteil,Partei,Prozent,Stimmen
LTW23,40,DA-Mitte,AfD,10.780669144981413,29
LTW23,50,DA-Mitte,AfD,12.142857142857142,34
LTW23,60,DA-Nord,AfD,12.316715542521994,42
LTW23,90,DA-Nord,AfD,7.569721115537849,38
LTW23,100,DA-Nord,AfD,8.272058823529411,45
LTW23,120,DA-Nord,AfD,27.570093457943923,59
LTW23,130,DA-Nord,AfD,4.912280701754386,28
LTW23,140,DA-Nord,AfD,4.105571847507331,14
LTW23,150,DA-Nord,AfD,7.032967032967033,32
LTW23,180,DA-Nord,AfD,7.547169811320755,36
LTW23,190,DA-Nord,AfD,6.839622641509433,29
LTW23,200,DA-Nord,AfD,7.871720116618077,27
LTW23,210,DA-Nord,AfD,10.377358490566039,44
LTW23,220,DA-Nord,AfD,7.099391480730223,35
LTW23,230,DA-Nord,AfD,13.580246913580247,66
LTW23,240,DA-Nord,AfD,12.925170068027212,57
LTW23,250,DA-Nord,AfD,5.76036866359447,25
LTW23,260,DA-Ost,AfD,9.54653937947494,40
LTW23,270,DA-Ost,AfD,6.9730586370839935,44
LTW23,280,DA-Ost,AfD,3.6511156186612577,18
LTW23,290,DA-Ost,AfD,7.331378299120235,25
LTW23,310,DA-Ost,AfD,10.73684210526316,51
LTW23,320,DA-Ost,AfD,8.379888268156424,45
LTW23,330,DA-Ost,AfD,9.722222222222223,49
LTW23,340,DA-Ost,AfD,10.62618595825427,56
LTW23,350,DA-Ost,AfD,8.49802371541502,43
LTW23,370,DA-Nord,AfD,16.386554621848738,78
LTW23,380,DA-Nord,AfD,18.0,54
LTW23,390,DA-Nord,AfD,21.247113163972287,92
LTW23,411,Kranichstein,AfD,9.713024282560706,44
LTW23,412,Kranichstein,AfD,18.359375,47
LTW23,413,Kranichstein,AfD,12.204724409448819,31
LTW23,421,Kranichstein,AfD,35.8433734939759,119
LTW23,422,Kranichstein,AfD,13.382899628252787,36
LTW23,431,Arheilgen,AfD,21.54696132596685,78
LTW23,432,Kranichstein,AfD,20.276497695852534,88
LTW23,440,Arheilgen,AfD,19.272727272727273,53
LTW23,450,Arheilgen,AfD,16.666666666666664,78
LTW23,460,Arheilgen,AfD,13.680154142581888,71
LTW23,481,Arheilgen,AfD,15.299334811529933,69
LTW23,482,Arheilgen,AfD,18.94093686354379,93
LTW23,483,Arheilgen,AfD,13.394919168591224,58
LTW23,490,Arheilgen,AfD,14.414414414414415,64
LTW23,500,Arheilgen,AfD,15.704387990762125,68
LTW23,510,Arheilgen,AfD,18.506493506493506,57
LTW23,521,Arheilgen,AfD,15.702479338842975,57
LTW23,522,Arheilgen,AfD,17.75147928994083,60
LTW23,530,Arheilgen,AfD,18.025751072961373,84
LTW23,540,DA-Mitte,AfD,7.392996108949417,19
LTW23,550,DA-Mitte,AfD,9.29203539823009,42
LTW23,560,DA-Mitte,AfD,9.582309582309582,39
LTW23,570,DA-Mitte,AfD,9.691629955947137,44
LTW23,580,DA-Mitte,AfD,6.326034063260341,26
LTW23,600,Bessungen,AfD,5.731523378582202,38
LTW23,610,Bessungen,AfD,6.334841628959276,42
LTW23,620,Bessungen,AfD,9.181636726546905,46
LTW23,630,Bessungen,AfD,4.464285714285714,20
LTW23,640,Bessungen,AfD,9.430255402750491,48
LTW23,650,Bessungen,AfD,11.538461538461538,39
LTW23,660,Bessungen,AfD,8.266129032258064,41
LTW23,680,Bessungen,AfD,7.060755336617405,43
LTW23,690,Bessungen,AfD,10.29126213592233,53
LTW23,710,DA-Mitte,AfD,10.72961373390558,50
LTW23,720,DA-West,AfD,13.661202185792352,50
LTW23,730,DA-West,AfD,8.545454545454545,47
LTW23,750,DA-West,AfD,20.64516129032258,64
LTW23,760,DA-West,AfD,13.590263691683571,67
LTW23,780,DA-West,AfD,16.87612208258528,94
LTW23,790,DA-West,AfD,11.333333333333332,51
LTW23,800,DA-West,AfD,11.864406779661017,49
LTW23,810,DA-West,AfD,10.86261980830671,34
LTW23,820,DA-West,AfD,16.563146997929607,80
LTW23,831,DA-West,AfD,21.597633136094675,73
LTW23,832,DA-West,AfD,19.26605504587156,63
LTW23,840,DA-West,AfD,16.478190630048463,102
LTW23,850,DA-West,AfD,18.344519015659955,82
LTW23,860,Wixhausen,AfD,18.71657754010695,70
LTW23,870,Wixhausen,AfD,22.033898305084744,65
LTW23,880,Wixhausen,AfD,20.37735849056604,108
LTW23,890,Wixhausen,AfD,20.54794520547945,90
LTW23,900,Eberstadt,AfD,7.717569786535304,47
LTW23,910,Eberstadt,AfD,15.123456790123457,49
LTW23,920,Eberstadt,AfD,23.87706855791962,101
LTW23,930,Eberstadt,AfD,15.588235294117647,53
LTW23,940,Eberstadt,AfD,15.0,66
LTW23,950,Eberstadt,AfD,10.660980810234541,50
LTW23,960,Eberstadt,AfD,10.118043844856661,60
LTW23,970,Eberstadt,AfD,13.51981351981352,58
LTW23,980,Eberstadt,AfD,9.950248756218906,40
LTW23,990,Eberstadt,AfD,24.137931034482758,63
LTW23,1000,Eberstadt,AfD,18.004866180048662,74
LTW23,1010,Eberstadt,AfD,8.842105263157894,42
LTW23,1020,Eberstadt,AfD,37.28813559322034,88
