wahl,gebiet-nr,gebiet-name,Insgesamt,CDU,Grüne,SPD,AfD,FDP,Linke,Anteil_SPD,Anteil_CDU,Anteil_Grüne,Anteil_FDP,Anteil_AfD,Anteil_Linke,CDU_Anteil,CDU_Prozent,Grüne_Anteil,Grüne_Prozent,SPD_Anteil,SPD_Prozent,AfD_Anteil,AfD_Prozent,FDP_Anteil,FDP_Prozent,Linke_Anteil,Linke_Prozent,Wahl_Abkürzung,Stadtteil
Wahl zum Deutschen Bundestag,210,00210 - Schillerschule,437,28,131,86,39,41,58,,,,,,,0.06407322654462243,6.407322654462242,0.2997711670480549,29.97711670480549,0.19679633867276888,19.679633867276888,0.08924485125858124,8.924485125858125,0.09382151029748284,9.382151029748284,0.13272311212814644,13.272311212814644,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,220,00220 - Interimsgebäude Bertolt-Brecht-Schule,467,17,175,99,13,29,81,,,,,,,0.03640256959314775,3.640256959314775,0.3747323340471092,37.47323340471092,0.21199143468950749,21.199143468950748,0.027837259100642397,2.7837259100642395,0.06209850107066381,6.209850107066381,0.1734475374732334,17.34475374732334,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,230,00230 - Interimsgebäude Bertolt-Brecht-Schule,492,34,113,100,33,48,88,,,,,,,0.06910569105691057,6.910569105691057,0.22967479674796748,22.96747967479675,0.2032520325203252,20.32520325203252,0.06707317073170732,6.707317073170732,0.0975609756097561,9.75609756097561,0.17886178861788618,17.88617886178862,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,240,00240 - Kiga Ev.Thomasgemeinde,477,58,125,124,30,39,55,,,,,,,0.12159329140461216,12.159329140461216,0.2620545073375262,26.20545073375262,0.259958071278826,25.995807127882596,0.06289308176100629,6.289308176100629,0.08176100628930817,8.176100628930817,0.11530398322851153,11.530398322851152,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,250,00250 - Chr.-Morgenstern-Schule,443,16,157,106,24,35,62,,,,,,,0.03611738148984198,3.611738148984198,0.3544018058690745,35.44018058690745,0.23927765237020315,23.927765237020317,0.05417607223476298,5.417607223476298,0.07900677200902935,7.900677200902935,0.1399548532731377,13.99548532731377,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,260,00260 - Kiga Ev.Thomasgemeinde,344,97,97,51,19,41,15,,,,,,,0.2819767441860465,28.197674418604652,0.2819767441860465,28.197674418604652,0.14825581395348839,14.825581395348838,0.055232558139534885,5.523255813953488,0.11918604651162791,11.918604651162791,0.0436046511627907,4.3604651162790695,BTW21,DA-Ost
Wahl zum Deutschen Bundestag,270,00270 - Kiga Ev.Thomasgemeinde,492,137,93,108,18,73,29,,,,,,,0.2784552845528455,27.84552845528455,0.18902439024390244,18.902439024390244,0.21951219512195122,21.951219512195124,0.036585365853658534,3.6585365853658534,0.1483739837398374,14.83739837398374,0.05894308943089431,5.894308943089431,BTW21,DA-Ost
Wahl zum Deutschen Bundestag,280,00280 - Abendgymnasium,383,76,115,62,18,53,21,,,,,,,0.19843342036553524,19.843342036553523,0.3002610966057441,30.026109660574413,0.1618798955613577,16.187989556135772,0.04699738903394256,4.699738903394255,0.13838120104438642,13.838120104438643,0.05483028720626632,5.483028720626632,BTW21,DA-Ost
Wahl zum Deutschen Bundestag,290,00290 - Abendgymnasium,294,40,87,66,13,38,26,,,,,,,0.1360544217687075,13.60544217687075,0.29591836734693877,29.591836734693878,0.22448979591836735,22.448979591836736,0.04421768707482993,4.421768707482993,0.1292517006802721,12.925170068027212,0.08843537414965986,8.843537414965986,BTW21,DA-Ost
Wahl zum Deutschen Bundestag,310,00310 - Abendgymnasium,451,45,131,116,23,43,43,,,,,,,0.09977827050997783,9.977827050997783,0.29046563192904656,29.046563192904657,0.2572062084257206,25.72062084257206,0.050997782705099776,5.099778270509978,0.09534368070953436,9.534368070953436,0.09534368070953436,9.534368070953436,BTW21,DA-Ost
Wahl zum Deutschen Bundestag,320,00320 - Abendgymnasium,470,44,146,114,25,44,50,,,,,,,0.09361702127659574,9.361702127659575,0.31063829787234043,31.06382978723404,0.2425531914893617,24.25531914893617,0.05319148936170213,5.319148936170213,0.09361702127659574,9.361702127659575,0.10638297872340426,10.638297872340425,BTW21,DA-Ost
